Recycle,Compost,Garbage,NA
CD,Fruit and vegetable scraps,Masks,
DVDs,Egg shells,plastic gloves,
Cell Phones,Coffee grounds,Hot drink cups,
Aerosol cans,Coffee filters,Cold drink cups,
Plastic Bottle,Tea bags ,Plastic bubble wrap,
Potato Chip Bag,Loose leaf tea ,Laminated plastic,
Plastic Container,Spoiled soy,Dryer and disposable mop sheets,
Plastic Tub,paper napkins,baby wipes,
Plastic Lid,pizza boxes,Drink pouches,
Lawn Furniture,Paper bags,Gum packages,
Laundry Basket,crumbs,Ribbons,
5-Gallon Bucket,Cooked pasta ,Broken mugs,
Soda Crate,Cooked rice ,,
Garbage Can,Stale bread,,
Glass Bottles,Stale tortilla ,,
Liquor Bottles,Spoiled pasta ,,
Beer Bottles,Soil,,
Soda Bottles,Paper towel,,
Wine Bottles,Stale ,,
Glass Jars,Stale cereal ,,
Newspaper,Cardboard box,,
Books,,,
Phonebooks,,,
Magazines,,,
Milk Carton,,,
Juice Carton,,,
Scrap Paper,,,
Junk Mail,,,
Paper Towel Cardboard Roll,,,
Toilet Paper Cardboard Roll,,,
Pizza Box,,,
Aluminum,,,
Pots and Pans,,,
Tins,,,
Utensils,,,
Steel Cans,,,
Tin Cans,,,
Paper Coffee Cups,,,
Cardboard Boxes,,,
Garbage,,,
Food Waste,,,
Takeout Containers,,,
Wrapping Paper,,,
Garden Hoses,,,
Incandescent Light Bulbs,,,
Latex Paint Can,,,
Wet Strength Paper,,,
Paper Towels,,,
Tissues,,,
Napkins,,,
Hangers,,,
Yard Waste,,,
Christmas Tree,,,
Tires,,,
Electronics,,,
Air Conditioners,,,
LED Light Bulbs,,,
Fluorescent Light Bulbs,,,
Household Hazards,,,
Household Cleaners,,,
Pesticides,,,
Fertilizers,,,
Pool Chemicals,,,
Oil Paints,,,
Acrylic Paints,,,
Oil-Based Paints,,,
Acrylic-Based Paints,,,
Propane Tanks,,,
Batteries,,,
Styrofoam,,,
Paper Shredding,,,
Plastic Bags,,,
Rechargeable Batteries,,,
Aerosol Spray Cans,,,
Aerosol Cans,,,
Antifreeze,,,
Appliances,,,
Automobiles,,,
Bicycles,,,
Building Materials,,,
Carpet/Rugs,,,
Clothing/Textiles,,,
Cooking Oil,,,
Crayons,,,
Fire Extinguisher/Smoke Detector,,,
Smoke Detector,,,
Furniture,,,
Gas,,,
Ink Cartridges,,,
Medical Waste,,,
Motor Oil,,,
Pallets,,,
Pharmaceuticals,,,
Toys,,,
Plastic air pillows found inside shipping packages,,,
Plastic straws,,,
Concrete,,,
Dehumidifier,,,
Plastic Bubble Wrap,,,
Packing Peanuts,,,
